SCaLE Budget 2014-2023,,"$1,782,900",Actual (20x),,Actual (19x),,,,Actual (18x),,Actual (17x),,Actual (16x),,Actual (15x),,Actual (14x),,Actual (13x),,Actual (12x),
Observe,1,"$6,000",None,$0,Gold,"$6,000",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
OpenX,2,"$6,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Silver,"$3,000",Silver,"$3,000",None,$0,None,$0
opsi,2,"$6,000",None,$0,None,$0,,,Silver,"$3,000",Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
PennyMac,2,"$6,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0
pgEdge,1,"$6,000",Gold,"$6,000",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
R1Soft,2,"$6,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Silver,"$3,000",Silver,"$3,000",None,$0,None,$0
Rancher,2,"$6,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,Silver,"$3,000",None,$0,None,$0,None,$0
Skysilk,1,"$6,000",None,$0,None,$0,,,None,$0,Gold,"$6,000",None,$0,None,$0,None,$0,None,$0,None,$0
SoftIron,2,"$6,000",None,$0,None,$0,,,Silver,"$3,000",Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
Splunk Inc.,1,"$6,000",None,$0,None,$0,,,Gold,"$6,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Square,1,"$6,000",None,$0,None,$0,,,Gold,"$6,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
StackRox,1,"$6,000",None,$0,None,$0,,,None,$0,Gold,"$6,000",None,$0,None,$0,None,$0,None,$0,None,$0
Ticketmaster,2,"$6,000",None,$0,None,$0,,,None,$0,Reception,"$3,500",None,$0,Reception,"$2,500",None,$0,None,$0,None,$0
"Tigera, Inc.",1,"$6,000",None,$0,None,$0,,,Gold,"$6,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Transformix,1,"$6,000",None,$0,None,$0,,,None,$0,Gold,"$6,000",None,$0,None,$0,None,$0,None,$0,None,$0
Yubico,2,"$6,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",Silver,"$3,000",None,$0,None,$0,None,$0,None,$0
Arm Limited,3,"$5,500",Media,"$2,000",Media,$500,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Q Connects,4,"$5,300",None,$0,None,$0,,,None,$0,None,$0,None,$0,Speaker Track,"$1,500",Speaker Track,$800,Speaker Track,"$1,500",Speaker Track,"$1,500"
Couchbase,1,"$5,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Gold,"$5,000",None,$0,None,$0,None,$0
Openshift,1,"$5,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Gold,"$5,000",None,$0,None,$0,None,$0
Steelhouse,1,"$5,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Gold,"$5,000",None,$0,None,$0,None,$0
Zevnet,1,"$5,000",None,$0,None,$0,,,None,$0,None,$0,Registration,"$5,000",None,$0,None,$0,None,$0,None,$0
Buildkite,2,"$4,500",Silver,"$3,500",Speaker Track,"$1,000",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"Docker, Inc.",2,"$4,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,Speaker Track,"$1,500",Silver,"$3,000",None,$0,None,$0
Rubicon Project,2,"$4,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",Speaker Track,"$1,500",None,$0
SourceForge,3,"$4,000",Media,"$2,000",Media,$500,,,None,$0,None,$0,Media,"$1,500",None,$0,None,$0,None,$0,None,$0
Tailscale,1,"$4,000",Reception,"$4,000",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"Acorn Labs, Inc",1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Adobe Inc.,1,"$3,500",None,$0,None,$0,,,None,$0,None,$0,Reception,"$3,500",None,$0,None,$0,None,$0,None,$0
"Akamai Technologies, Inc.",1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"Akuity, Inc.",1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
AllegroGraph,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Asserts,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Azul,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Bayesian Platform,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"Chronosphere, Inc.",1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"CloudBees, Inc.",1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Courier,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
CyberArk,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"D2iQ, Inc.",1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
DBeaver,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
DeepSource,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Dynatrace LLC,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
EDB,1,"$3,500",None,$0,Reception,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Era Software,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
FleetDM,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Grafana Labs,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Gremlin,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
